id     imdb_id   original_title                                                                                           genres
309245 tt2872462 Mistress America                                                                                         Comedy
228165 tt2279373 The SpongeBob Movie: Sponge Out of Water                                                                 Family|Animation
245706 tt2273657 True Story                                                                                               Crime|Drama|Mystery
272878 tt3369806 Max                                                                                                      Adventure|Drama|Family
263109 tt2872750 Shaun the Sheep Movie                                                                                    Family|Animation|Comedy|Adventure
157827 tt2217859 Louder Than Bombs                                                                                        Drama
321751 tt3577624 A Perfect Day                                                                                            Comedy|Drama
266396 tt2515034 The Gunman                                                                                               Action|Drama|Crime
277685 tt3713166 Unfriended                                                                                               Horror|Thriller
268920 tt2967224 Hot Pursuit                                                                                              Action|Crime|Comedy
280092 tt3195644 Insidious: Chapter 3                                                                                     Drama|Horror|Thriller
193687 tt1598642 Z for Zachariah                                                                                          Drama|Science Fiction|Thriller
300803 tt3829170 Dragonheart 3: The Sorcerer's Curse                                                                      Action|Adventure|Fantasy
328589 tt3722070 The Lady in the Van                                                                                      Comedy|Drama
228066 tt1976009 Victor Frankenstein                                                                                      Drama|Science Fiction|Thriller
378373 tt3532278 Brothers of the Wind                                                                                     Adventure|Drama|Family
291270 tt2401878 Anomalisa                                                                                                Animation|Comedy|Drama|Romance
294963 tt2494362 Bone Tomahawk                                                                                            Horror|Western|Adventure|Drama
241257 tt3319920 Regression                                                                                               Horror|Mystery|Thriller
245698 tt1596345 Pawn Sacrifice                                                                                           Drama
353326 tt0787524 The Man Who Knew Infinity                                                                                Drama
346808 tt3181776 Momentum                                                                                                 Thriller|Action
250124 tt3172532 The Diary of a Teenage Girl                                                                              Drama|Romance
290637 tt3733778 Pay the Ghost                                                                                            Horror|Thriller
244458 tt1567437 The Voices                                                                                               Horror|Thriller|Comedy|Crime
308504 tt2493486 Last Knights                                                                                             Action|Adventure
314405 tt3278330 Il racconto dei racconti                                                                                 Romance|Fantasy|Horror
282984 tt3715320 Irrational Man                                                                                           Mystery|Drama
157843 tt1837636 Queen of the Desert                                                                                      Drama|History
275601 tt3623726 Ricki and the Flash                                                                                      Comedy|Drama|Music
290762 tt2245003 Miss You Already                                                                                         Comedy|Drama|Romance
251516 tt3472226 Kung Fury                                                                                                Action|Comedy|Science Fiction|Fantasy
304372 tt3862750 The Perfect Guy                                                                                          Drama|Thriller
324807 tt2056771 A Bigger Splash                                                                                          Crime|Drama|Mystery|Thriller
252512 tt1791682 While We're Young                                                                                        Drama|Comedy
257091 tt2561572 Get Hard                                                                                                 Comedy
228968 tt2917388 Kidnapping Mr. Heineken                                                                                  Drama|Action|Crime|Thriller
347969 tt2479478 The Ridiculous 6                                                                                         Comedy|Western
237756 tt2393845 Kill Me Three Times                                                                                      Comedy|Thriller
293646 tt2006295 The 33                                                                                                   History|Drama
245168 tt3077214 Suffragette                                                                                              Drama|History
311291 tt3544082 45 Years                                                                                                 Drama
301351 tt3787590 We Are Your Friends                                                                                      Drama|Music|Romance
248574 tt1731701 Barely Lethal                                                                                            Adventure|Action|Comedy
225728 tt2884018 Macbeth                                                                                                  History|Drama|War
326425 tt4382872 Extraction                                                                                               Action|Thriller
342474 tt3289712 Jenny's Wedding                                                                                          Comedy|Drama
277217 tt3440298 Descendants                                                                                              Music|Action|Adventure|Comedy|Family
207936 tt2338424 Tumbledown                                                                                               Music|Romance|Comedy
250734 tt2935476 Far from the Madding Crowd                                                                               Romance|Drama
249688 tt3416744 The End of the Tour                                                                                      Drama
268238 tt2555736 The Second Best Exotic Marigold Hotel                                                                    Drama|Comedy
256962 tt1810683 Little Boy                                                                                               Comedy|Drama|War
322456 tt4189260 LEGO DC Comics Super Heroes: Justice League vs. Bizarro League                                           Action|Adventure|Animation|Family
302528 tt3704050 Remember                                                                                                 Drama|Thriller
222936 tt1243974 Aloha                                                                                                    Adventure|Comedy|Romance
316002 tt1137470 Accidental Love                                                                                          Romance|Comedy
365806 tt4856322 Halo: The Fall of Reach                                                                                  Action|Animation|Science Fiction
10317  tt1018765 Our Brand Is Crisis                                                                                      Drama|Comedy
334538 tt2625810 Into the Forest                                                                                          Drama|Science Fiction
306947 tt2400463 The Invitation                                                                                           Thriller
328901 tt3165630 The Benefactor                                                                                           Drama
382517 tt4938374 Open Season: Scared Silly                                                                                Animation|Comedy|Family|Adventure
310133 tt3813310 Cop Car                                                                                                  Thriller
237584 tt2322517 Mojave                                                                                                   Thriller
288036 tt3165612 Sleeping with Other People                                                                               Comedy
354110 tt2271563 Forsaken                                                                                                 Western|Drama
331781 tt2870648 Amy                                                                                                      Documentary|Music
253161 tt2334733 Madame Bovary                                                                                            Drama
312831 tt2474976 The Hallow                                                                                               Fantasy|Horror
316322 tt4215332 Barbie in Princess Power                                                                                 Family|Animation
301846 tt2393827 Howl                                                                                                     Horror
306745 tt1658801 Freeheld                                                                                                 Romance|Drama
332340 tt3064298 Man Up                                                                                                   Romance|Comedy
292431 tt3774694 Love                                                                                                     Drama|Romance
300693 tt3859076 Truth                                                                                                    Drama
333381 tt2948790 Return to Sender                                                                                         Thriller
256924 tt1772288 Danny Collins                                                                                            Comedy|Drama|Music
253414 tt3164256 Rock the Kasbah                                                                                          Comedy|Music|War
254172 tt2582502 Fathers and Daughters                                                                                    Drama
320588 tt3766394 Hello, My Name Is Doris                                                                                  Comedy|Drama|Romance
157544 tt1524575 The Vatican Tapes                                                                                        Thriller|Horror
283235 tt2891174 99 Homes                                                                                                 Drama
243938 tt2637294 Hot Tub Time Machine 2                                                                                   Comedy
86835  tt2101383 Knight of Cups                                                                                           Romance|Drama
254905 tt2893490 Manglehorn                                                                                               Drama
309242 tt2349144 Mississippi Grind                                                                                        Drama
332502 tt3774790 400 Days                                                                                                 Mystery|Science Fiction|Thriller
286192 tt3824386 Lava                                                                                                     Animation|Comedy|Family|Fantasy|Music
284674 tt2091478 Air                                                                                                      Thriller|Science Fiction
360055 tt4642044 Riot                                                                                                     Action
352179 tt3661298 Septembers of Shiraz                                                                                     Drama|Thriller
246127 tt1707380 Every Thing Will Be Fine                                                                                 Drama
338676 tt3467412 Extinction                                                                                               Drama|Horror|Science Fiction
330982 tt2815902 The Childhood of a Leader                                                                                Mystery|Drama|Horror
232572 tt1178665 A Walk in the Woods                                                                                      Drama|Adventure|Comedy
112454 tt1780798 Clown                                                                                                    Horror
243940 tt2918436 The Lazarus Effect                                                                                       Thriller|Horror
321528 tt4324274 Batman vs. Robin                                                                                         Action|Adventure|Animation
317744 tt1629242 Careful What You Wish For                                                                                Thriller
300792 tt1618448 Racing Extinction                                                                                        Adventure|Documentary
239573 tt2358925 Unfinished Business                                                                                      Comedy
167810 tt2366608 Lost River                                                                                               Fantasy|Thriller
319075 tt4229236 Cobain: Montage of Heck                                                                                  Music|Documentary
316042 tt4034452 Hyena Road                                                                                               War|Drama
334527 tt3687310 Criminal Activities                                                                                      Thriller|Crime|Drama
300153 tt2948840 Life                                                                                                     Drama
228203 tt2097298 McFarland, USA                                                                                           Drama
332704 tt2784936 Backtrack                                                                                                Horror|Mystery
278236 tt3149038 X+Y                                                                                                      Drama
276839 tt2802136 Home Sweet Hell                                                                                          Drama|Comedy
326215 tt3411432 Ooops! Noah is Gone...                                                                                   Animation|Adventure|Comedy
363689 tt4229298 The Unspoken                                                                                             Thriller|Horror
318256 tt4382552 Hot Girls Wanted                                                                                         Documentary
299245 tt2309260 The Gallows                                                                                              Horror|Thriller
333344 tt3194590 Dirty Weekend                                                                                            Drama|Comedy
357096 tt4530884 I Spit on Your Grave III: Vengeance is Mine                                                              Horror|Thriller
309299 tt3726704 Experimenter                                                                                             History|Drama
314385 tt3707106 By the Sea                                                                                               Drama|Romance
333596 tt4183692 Woodlawn                                                                                                 Drama
361042 tt4472596 The Hollow                                                                                               Horror|TV Movie
353686 tt2954474 Visions                                                                                                  Thriller|Horror
318954 tt2433040 Beyond the Mask                                                                                          Action
289191 tt3004746 I Am Here                                                                                                Drama|Thriller
324333 tt4442130 Wild Horses                                                                                              Crime|Drama
252164 tt3029476 Pressure                                                                                                 Drama|Thriller
360784 tt2131532 Hidden                                                                                                   Thriller|Horror
336313 tt2141773 Hell & Back                                                                                              Fantasy|Comedy|Animation
240483 tt2145829 Robot Overlords                                                                                          Adventure|Science Fiction|Action
321494 tt3625152 The Man with the Iron Fists 2                                                                            Action
353595 tt4938416 LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!                               Action|Adventure|Animation|Family
360603 tt5133572 Crown for Christmas                                                                                      TV Movie
264337 tt3233418 Spare Parts                                                                                              Action|Drama|Family
289716 tt2420166 The World Made Straight                                                                                  Drama
296065 tt2965466 Last Shift                                                                                               Horror|Thriller
337029 tt4086032 Frankenstein                                                                                             Horror|Thriller
317952 tt4126304 Cartel Land                                                                                              Drama|Documentary
325358 tt2933474 Superfast!                                                                                               Comedy
272548 tt2718440 Moonwalkers                                                                                              Comedy
340275 tt4594834 Chi-Raq                                                                                                  Music|Drama|Crime|Comedy
309887 tt3525346 Bad Asses on the Bayou                                                                                   Comedy|Action
302429 tt4191054 Strange Magic                                                                                            Music|Animation|Family|Fantasy
253331 tt2883434 Black or White                                                                                           Drama
293771 tt3816458 Dead Rising                                                                                              Horror|Science Fiction
323373 tt3705412 Deathgasm                                                                                                Comedy|Horror
323027 tt4324302 Justice League: Gods and Monsters                                                                        Action|Animation|Fantasy
297806 tt1490785 I Saw the Light                                                                                          Drama|Music
253626 tt3297330 Good Kill                                                                                                Action|Drama|Thriller
354251 tt4935334 Southbound                                                                                               Fantasy|Thriller|Horror|Science Fiction
329637 tt2621446 Star Trek: Renegades                                                                                     Action|Science Fiction|Adventure|Fantasy
257444 tt2443822 The Boy                                                                                                  Thriller|Drama|Horror
355338 tt4941804 Riley's First Date?                                                                                      Animation|Family
271736 tt3083008 The Program                                                                                              Drama
309581 tt3442990 Lila & Eve                                                                                               Thriller|Drama
293970 tt2118624 The Final Girls                                                                                          Horror|Comedy
279690 tt2386404 He Never Died                                                                                            Thriller|Horror|Comedy|Drama
364067 tt4537842 A Very Murray Christmas                                                                                  Comedy|Music
318922 tt2474958 Kill Your Friends                                                                                        Thriller|Comedy|Crime
335077 tt2784134 Battle For SkyArk                                                                                        Family|Science Fiction|Action|Adventure
266639 tt3614530 Jem and the Holograms                                                                                    Drama|Music|Adventure|Fantasy
274504 tt1735907 The Adderall Diaries                                                                                     Thriller|Action|Drama
244316 tt1694021 Grizzly                                                                                                  Action|Horror|Thriller
352208 tt4897822 Where to Invade Next                                                                                     Documentary
283587 tt1365050 Beasts of No Nation                                                                                      Drama|War
311539 tt3688406 A Christmas Horror Story                                                                                 Horror
277713 tt2262161 Sunset Song                                                                                              Drama
347945 tt2049543 Synchronicity                                                                                            Thriller|Mystery|Science Fiction
363483 tt5133810 12 Gifts of Christmas                                                                                    Family|TV Movie
344854 tt4167720 The Pack                                                                                                 Thriller|Horror
234212 tt1841642 Demonic                                                                                                  Thriller|Horror
354220 tt3826866 The Girl in the Photographs                                                                              Crime|Horror|Thriller
283596 tt2552394 The Legend of Barney Thomson                                                                             Thriller|Drama|Comedy
250225 tt2570858 The Duke of Burgundy                                                                                     Drama
307479 tt3465074 88                                                                                                       Thriller|Action
339145 tt2980554 The Girl in the Book                                                                                     Drama
323660 tt4296026 Avengers Grimm                                                                                           Fantasy|Action|Adventure
308638 tt3534602 The D Train                                                                                              Drama|Comedy
359983 tt4938602 The Lion Guard: Return of the Roar                                                                       Family|TV Movie|Animation
300155 tt1837562 A Royal Night Out                                                                                        Thriller|Romance|Drama
328595 tt3479316 Parallels                                                                                                Science Fiction|Action
327528 tt2133196 Born to Be Blue                                                                                          Drama|Music
329540 tt3528666 The Marine 4: Moving Target                                                                              Thriller|Action
306964 tt4163020 Tales of Halloween                                                                                       Horror
360387 tt3520290 Blunt Force Trauma                                                                                       Adventure|Action
362185 tt3849692 Operator                                                                                                 Thriller|Action|Drama
94365  tt1883367 The Human Centipede 3 (Final Sequence)                                                                   Horror
241855 tt3395184 Spring                                                                                                   Horror|Romance|Science Fiction
322518 tt3496372 The Intruders                                                                                            Thriller
291272 tt3520418 We Are Still Here                                                                                        Horror
324963 tt4137924 Monster High: Haunted                                                                                    Animation|Family|Fantasy
342927 tt4685096 3-Headed Shark Attack                                                                                    Science Fiction|Action|Horror
